,Real_time,frame,gazeX_1,gazeY_1,pdl_1,pdr_1,gazeX_2,gazeY_2,pdl_2,pdr_2,jva10,jva50,jva100,jva150,jva200,AOI_1,AOI_2,leader10,leader50,leader100,leader150,leader200,jva100_lag0,speech_l,speech_r,EDA_x,EDA_y,normalized EDA_x,normalized EDA_y,DA,IDM,SM,PC
43,2017-08-08 15:31:09.320000,258,598.9381,2507.8105,2.38, 2.47,647.9101,2389.369,2.76, 2.7,0,1,1,1,1,1.0,1.0,0,1,1,1,1,0,0,0,0.988183,0.14735299999999998,-0.572258075798,0.460149760926,0.359166666667,0.162974029343,1.20498653305,0.39250818720299996
44,2017-08-08 15:31:09.560000,264,600.5314,2462.1672,, 2.46,647.30286,2396.915,2.77, 2.67,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,0.988183,0.146072,-0.572258075798,0.429862993583,0.359166666667,0.163075064044,1.20492915447,0.393524292574
45,2017-08-08 15:31:09.800000,270,619.4418,2436.8127,2.42, 2.55,663.79224,2399.1804,2.72, 2.7,0,1,1,1,1,1.0,1.0,0,1,1,1,1,1,1,1,0.9907450000000001,0.146072,-0.5694600785989999,0.429862993583,0.36,0.16335469024399998,1.20482477665,0.394801239543
46,2017-08-08 15:31:10.040000,276,634.616,2444.491,2.43, 2.52,598.06335,2468.0574,2.8, 2.82,0,1,1,1,1,1.0,1.0,0,1,1,1,1,1,1,1,0.98562,0.14735299999999998,-0.575057165111,0.460149760926,0.360833333333,0.163409080737,1.2047662313299998,0.39599225730400006
47,2017-08-08 15:31:10.280000,282,610.4979,2515.0095,2.35, 2.45,604.4788,2464.5127,, 2.75,0,1,1,1,1,1.0,1.0,0,1,1,1,1,1,1,1,0.9907450000000001,0.146072,-0.5694600785989999,0.429862993583,0.360833333333,0.163404417409,1.20470652018,0.396977508059
48,2017-08-08 15:31:10.520000,288,610.4504,2494.6987,2.29, 2.46,596.1314,2475.9062,2.81, 2.75,0,1,1,1,1,1.0,1.0,0,1,1,1,1,1,1,1,0.9894639999999999,0.14735299999999998,-0.570859077198,0.460149760926,0.360833333333,0.163298798189,1.20467671224,0.39812277249
49,2017-08-08 15:31:10.760000,294,588.8722,2556.831,2.29, 2.45,589.87897,2490.9006,2.83, 2.78,0,1,1,1,1,1.0,1.0,0,1,1,1,1,1,1,1,0.986901,0.14735299999999998,-0.573658166512,0.460149760926,0.360833333333,0.163409159548,1.2046504224099999,0.399103522574
50,2017-08-08 15:31:11,300,585.27997,2552.7673,2.31, 2.44,593.9444,2481.25,2.86, 2.88,0,1,1,1,1,1.0,1.0,0,1,1,1,1,1,1,1,0.988183,0.148634,-0.572258075798,0.49043652826800005,0.360833333333,0.163496125453,1.20466761371,0.399939816686
51,2017-08-08 15:31:11.240000,306,594.1511,2568.9866,2.37, 2.46,586.89954,2475.3472,2.87, 2.87,0,1,1,1,1,1.0,1.0,0,1,1,1,1,1,0,1,0.9907450000000001,0.14735299999999998,-0.5694600785989999,0.460149760926,0.360833333333,0.163505534561,1.20469065569,0.40063371710100004
52,2017-08-08 15:31:11.480000,312,653.7719,2579.6504,2.41, 2.49,778.0387,2454.531,2.89, 2.76,0,1,1,1,1,1.0,1.0,0,1,1,1,1,0,1,1,0.992027,0.14735299999999998,-0.568059987885,0.460149760926,0.361666666667,0.163693449076,1.20478941368,0.401335170229
53,2017-08-08 15:31:11.720000,318,666.2609,2582.5942,2.4, 2.49,546.1067,2445.1462,2.82, 2.89,0,0,1,1,1,1.0,1.0,0,0,1,1,1,0,1,1,0.993308,0.146072,-0.566660989285,0.429862993583,0.361666666667,0.163789820449,1.20493983607,0.401928807958
54,2017-08-08 15:31:11.960000,324,942.9024699999999,2496.7046,, 2.58,549.72845,2451.5461,2.72, 2.81,0,0,0,0,1,1.0,1.0,0,0,0,0,1,0,1,1,0.9907450000000001,0.148634,-0.5694600785989999,0.49043652826800005,0.361666666667,0.163780568961,1.2051671609,0.402501935366
55,2017-08-08 15:31:12.200000,330,779.5827,2601.6620000000007,2.44, 2.48,624.1543,2492.5513,2.86, 2.79,0,0,0,1,1,1.0,1.0,0,0,0,1,1,0,1,1,0.99587,0.148634,-0.563862992086,0.49043652826800005,0.361666666667,0.163876861524,1.2053704126,0.40275474228200003
56,2017-08-08 15:31:12.440000,336,698.8071,2591.4436,2.45, 2.57,635.38605,2494.7344,2.8, 2.8,0,0,1,1,1,1.0,1.0,0,0,1,1,1,0,1,0,0.9894639999999999,0.146072,-0.570859077198,0.429862993583,0.360833333333,0.163702933354,1.2055771627,0.403097619441
57,2017-08-08 15:31:12.680000,342,685.0480299999998,2586.172,2.4, 2.56,611.24133,2557.082000000001,2.81, 2.76,0,0,1,1,1,1.0,1.0,0,0,1,1,1,1,1,0,0.994589,0.14735299999999998,-0.565261990686,0.460149760926,0.36,0.163726253638,1.20585496548,0.403441963588
58,2017-08-08 15:31:12.920000,348,595.9065,2618.8872,2.4, 2.54,587.0746,2498.5562,2.87, 2.79,0,1,1,1,1,1.0,1.0,0,1,1,1,1,0,1,0,0.993308,0.148634,-0.566660989285,0.49043652826800005,0.36,0.163726253638,1.20608578872,0.40386669518
59,2017-08-08 15:31:13.160000,354,595.2019700000002,2688.9338,2.58, ,586.8017,2511.3070000000002,2.84, 2.79,0,0,0,0,0,0.0,1.0,0,0,0,0,0,0,1,0,0.992027,0.148634,-0.568059987885,0.49043652826800005,0.36,0.163726253638,1.2062890413299998,0.404199798157
60,2017-08-08 15:31:13.400000,360,555.5783,2664.2415,2.47, 2.61,583.0184,2520.3213,2.78, 2.82,0,0,1,1,1,2.0,1.0,0,0,1,1,1,0,1,0,0.986901,0.14735299999999998,-0.573658166512,0.460149760926,0.359166666667,0.163695262238,1.20650395408,0.404357524309
61,2017-08-08 15:31:13.640000,366,612.2698,2515.2864,2.47, 2.59,597.8783,2567.7083,, 2.84,0,1,1,1,1,1.0,1.0,0,1,1,1,1,1,1,0,0.993308,0.148634,-0.566660989285,0.49043652826800005,0.359166666667,0.163676608923,1.2067541853100001,0.404595018791
62,2017-08-08 15:31:13.880000,372,553.10876,2656.3193,2.43, 2.54,549.1217,2598.2979,2.87, 2.91,0,1,1,1,1,1.0,1.0,0,1,1,1,1,1,1,0,0.994589,0.148634,-0.565261990686,0.49043652826800005,0.359166666667,0.163685939221,1.2069885069600002,0.404795021927
63,2017-08-08 15:31:14.120000,378,527.1975,2680.0706,2.43, 2.57,522.8593,2623.565,2.81, 2.8,0,0,0,0,0,0.0,1.0,0,0,0,0,0,1,1,1,0.993308,0.148634,-0.566660989285,0.49043652826800005,0.36,0.16377764726500002,1.2072480872799998,0.404958046246
